ID,SMILES,act_mean,Type
CHEMBL187081,COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,12,1
CHEMBL2234215,CCOC(=O)C(=O)/C(=N\Nc1ccccc1)C(=O)c1ccc(Cl)cc1,100000000,0
CHEMBL4105084,CC[C@@H](CO)Nc1ccc2ncc(-c3cccc(Cl)c3)n2n1,75,1
CHEMBL4083249,C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccc5ocnc5c4)cc3c21,138,1
CHEMBL4090007,CCOC(=O)c1c(/C(C#N)=C/N)c2ccc(Cl)c(Cl)c2n1C,55.2,1
CHEMBL4288096,COc1ccc(/C=C2\SC(=S)NC2=O)cc1C#C[Si](C)(C)C,110,1
CHEMBL2314467,CC[C@@H](CO)Nc1nc(Nc2ccncc2)c2ncn(C(C)C)c2n1,800,1
CHEMBL4283894,O=C(Nc1cccc(O)c1)Nc1nc2ccc(O)cc2s1,134,1
CHEMBL4292471,Cc1ccc(C(=O)Nc2cncc(-c3cc(-c4cccnc4)cs3)c2)cc1,51.4,1
CHEMBL4293599,CC[C@@H](CO)Nc1cc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,2800,0
CHEMBL3609671,Cc1cccnc1NC(=O)Nc1cccc2c1[C@@H]1C[C@H](O)CCN1C2=O,6200,0
CHEMBL3609565,O=C(Nc1ccccn1)Nc1cccc2c1C1CC3(CCN1C2=O)SCCS3,100000000,0
CHEMBL2180860,O=C(Nc1cccc2c1C1CCCCN1C2=O)NC1CCCCC1,100000000,0
CHEMBL1738733,O=C1N=C(Nc2ccccc2)N=C1Cc1ccc2c(c1)OCO2,7.6,1
CHEMBL2295938,CC(C)C[C@H](O)Nc1nc(Nc2cccc(-c3ncccn3)c2)c2ncn(C(C)C)c2n1,2000,0
CHEMBL4104765,Cc1ccc([C@@H](C)n2nnc3cnc4ccc(-c5ccnc(C)c5)cc4c32)cc1,141,1
CHEMBL2089032,CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(NC[C@@H](O)CO)nc21,710,1
CHEMBL4290268,Cn1cc(-c2csc(-c3cccnc3)c2)cn1,130,1
CHEMBL4092345,Nc1ccc(-c2c[nH]c3ncc(-c4ccc(O)cc4)cc23)cc1,100000000,0
CHEMBL4075959,O=[N+]([O-])c1ccc(-c2cnc3[nH]cc(-c4ccc(O)cc4)c3c2)cc1,212,1
CHEMBL4285513,O=C(Nc1ccccc1)Nc1nc2ccc(O)cc2s1,163,1
CHEMBL2314471,CC(C)[C@H](CO)Nc1nc(Nc2cccnc2)c2ncn(C(C)C)c2n1,400,1
CHEMBL1885748,Clc1cc(Cl)cc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1,1441,0
CHEMBL4283765,O=C1NC(Nc2ccccc2)=N/C1=C/c1ccc2c(c1)OCO2,32,1
CHEMBL4085557,COc1ccc2sc(C(=O)N(C)Cc3ccccc3)cc2c1,520,1
CHEMBL4104122,CCn1nnc2cnc3ccc(-c4ccnc(C)c4)cc3c21,283,1
CHEMBL4086818,Nc1cc(-c2c[nH]c3c(Cl)cccc23)ccn1,94,1
CHEMBL4104296,CC[C@@H](CO)Nc1ccc2ncc(-c3ccc(C(F)(F)F)cc3)n2n1,1100,0
CHEMBL2314443,CC(C)n1cnc2c(Nc3cnccn3)nc(Cl)nc21,9000,0
CHEMBL3787557,CN1CCN(Cc2ccnc(NC(=O)Nc3cccc4c3C3CCCCN3C4=O)c2)CC1,3000,0
CHEMBL4084364,CC[C@@H](CO)Nc1ccc2ncc(-c3ccnc(N)n3)n2n1,3200,0
CHEMBL3335353,Cn1c(C(=O)c2cccc(O)c2)cc2cc(O)ccc21,3400,0
CHEMBL1513850,COc1ccc(-c2ccc3ncnc(NCc4cccs4)c3c2)cc1OC,100000000,0
CHEMBL460464,COC(=O)[C@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(OS(=O)(=O)O)=C1c1ccc(O)cc1,100000000,0
CHEMBL4072138,N#Cc1cccc2c(-c3ccnc(N)n3)c[nH]c12,138,1
CHEMBL4159193,COc1ccc2c(c1)[nH]c1c(C)nc(C)cc12,971,1
CHEMBL2392390,COc1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cc1,46300,0
CHEMBL3094464,COc1ncc2cc(C(=O)Nc3cc(C(=O)N4CCc5ccccc5C4)ccc3Cl)c(=O)[nH]c2n1,4010,0
CHEMBL3884932,COc1ccc2[nH]c3c4c(OC)cncc4cc(C#N)c3c2c1,600,1
CHEMBL3945429,NC(=O)c1cc(-c2cn3cc(F)ccc3n2)ccc1O,4700,0
CHEMBL2386749,COC(=N)c1nc2ccc3ncnc(Nc4ccc(O)c([N+](=O)[O-])c4)c3c2s1,4.91,1
CHEMBL2386768,COC(=N)c1nc2ccc3ncnc(Nc4ccc(N(C)C)cc4)c3c2s1,35.64,1
CHEMBL4643515,COc1ccccc1Nc1nccc(-c2cnn3ncccc23)n1,137,1
CHEMBL523580,COc1ccc(N2NC(=O)/C(=C\c3ccccc3F)C2=O)cc1,100000000,0
CHEMBL2295957,CC(C)n1cnc2c(Nc3ccc(-c4cncnc4)cc3)nc(NC(O)CCO)nc21,1200,0
CHEMBL3589660,O=C(O)c1nc2ccccc2c2[nH]c3c(Cl)cccc3c12,31,1
CHEMBL3609668,Cc1cccnc1NC(=O)Nc1cccc2c1C1CC3(CCN1C2=O)OCCO3,100000000,0
CHEMBL4063254,COc1ccc2ncc(-c3ccc(C(F)(F)F)cc3)n2n1,2800,0
