Molecule ChEMBL ID,Smiles,Molecular Weight,act_mean
CHEMBL2392242,c1ncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cn1,307.31,26000
CHEMBL2392246,COc1ccc(CNc2ccnc(-c3cccnc3)n2)cc1,292.34,32800
CHEMBL2392355,COc1cccc(-c2ncccn2)c1,186.21,26000
CHEMBL2392359,COc1ccc(-c2ccnc(NCc3ccc(Cl)cc3)n2)cc1,325.8,1314
CHEMBL2392360,COc1ccc(-c2ccnc(NCc3ccc(Cl)c(Cl)c3)n2)cc1,360.24,681.5
CHEMBL2392361,COc1cccc(-c2ccnc(NCc3ccc(Cl)cc3)n2)c1,325.8,6845.5
CHEMBL2392362,COc1cccc(-c2ccnc(NCc3ccc(Cl)c(Cl)c3)n2)c1,360.24,5237
CHEMBL2392363,Clc1ccc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)cc1,339.78,260
CHEMBL2392364,Clc1cc(Cl)cc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)c1,374.23,27
CHEMBL2392365,Brc1cc(Br)cc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)c1,463.13,40.5
CHEMBL2392366,COc1ccc(-c2ccnc(NCc3ccc(Cl)c(Cl)c3)n2)cc1OC,390.27,26020
CHEMBL2392367,Clc1ccc(CNc2nccc(-c3ccc4cn[nH]c4c3)n2)cc1Cl,370.24,904.5
